epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.5425,1.49085,3.93774,1.36826,0.00496,0.91176,0.01087,0.00518,1.04948,3.47034,1.00492,5.001e-05,5.001e-05,5.001e-05
2,5.6535,1.40009,3.86112,1.23826,0.00566,0.97059,0.20044,0.04474,0.98761,3.36804,0.94708,0.00011438,0.00011438,0.00011438
3,6.71454,1.41121,3.37076,1.2011,0.00584,1,0.27167,0.13659,1.08836,3.27541,0.97693,0.000176109,0.000176109,0.000176109
4,7.71354,1.2866,2.8901,1.09355,0.00559,1,0.38812,0.20417,1.07743,3.1617,0.9597,0.000235197,0.000235197,0.000235197
5,8.64496,1.23764,2.48122,1.0933,0.00568,1,0.4853,0.23753,1.08654,3.12704,0.97472,0.000291645,0.000291645,0.000291645
6,10.002,1.24221,1.93832,1.12326,0.00561,1,0.64002,0.34559,1.1399,3.02761,0.99165,0.000345452,0.000345452,0.000345452
7,10.9524,1.25129,2.08067,1.09678,0.00567,1,0.66159,0.38898,1.0515,3.09538,0.95996,0.000396619,0.000396619,0.000396619
8,11.8864,1.22019,1.77701,1.11981,0.00545,0.97059,0.63102,0.37056,0.96936,3.1206,0.9639,0.000445146,0.000445146,0.000445146
9,12.814,1.23154,1.8008,1.12109,0.00571,0.97059,0.55172,0.25459,1.01268,3.15583,1.01347,0.000491032,0.000491032,0.000491032
10,13.739,1.08204,1.55234,1.05767,0.0058,0.97059,0.60106,0.2762,1.05488,3.15269,1.0108,0.000534277,0.000534277,0.000534277
11,14.6581,1.14843,1.50365,1.08947,0.0057,0.97059,0.63723,0.31922,1.05993,3.13457,0.97576,0.000574882,0.000574882,0.000574882
12,15.5781,1.14087,1.3599,1.06544,0.00549,0.97059,0.62523,0.26883,1.06464,3.02805,0.97877,0.000612846,0.000612846,0.000612846
13,16.5001,1.11432,1.44931,1.06157,0.00532,0.97059,0.65665,0.33141,1.1321,2.97939,1.01572,0.00064817,0.00064817,0.00064817
14,17.4032,1.09285,1.39878,1.04285,0.00534,0.97059,0.62676,0.30527,1.08377,2.99041,1.01131,0.000680853,0.000680853,0.000680853
15,18.3258,1.07786,1.45095,1.06809,0.00528,0.97059,0.71897,0.43198,1.01444,2.87257,0.96011,0.000710895,0.000710895,0.000710895
16,19.2192,1.05636,1.31146,1.01862,0.00525,0.97059,0.89789,0.58533,1.00805,2.74592,0.97961,0.000738298,0.000738298,0.000738298
