epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.40635,1.12247,3.74823,1.0977,0.00635,0.99451,0.07099,0.036,1.176,3.32518,1.01847,0.0001667,0.0001667,0.0001667
2,11.1011,1.25556,2.60514,1.09247,0.00553,0.99451,0.35631,0.15881,1.19804,3.18466,1.01698,0.000347182,0.000347182,0.000347182
3,13.4199,1.22549,1.97458,1.10423,0.00611,0.98901,0.42655,0.18774,1.0813,3.24729,0.99404,0.000524638,0.000524638,0.000524638
4,15.6455,1.18287,1.69479,1.12216,0.00632,0.96703,0.23966,0.08297,1.02466,3.2847,1.00083,0.000699069,0.000699069,0.000699069
5,17.961,1.22955,1.5349,1.12596,0.00655,0.97802,0.35248,0.18035,1.05437,3.18802,1.02387,0.000870474,0.000870474,0.000870474
6,20.1802,1.11325,1.40607,1.06792,0.00575,0.96703,0.49862,0.28466,1.121,3.00176,1.03692,0.00103885,0.00103885,0.00103885
7,24.9675,1.14792,1.3813,1.10458,0.76328,0.09254,0.78762,0.50764,1.15744,2.68762,1.0821,0.00120421,0.00120421,0.00120421
8,27.5318,1.13949,1.25888,1.08575,0.95276,0.41211,0.85641,0.53416,1.16701,2.19663,1.0949,0.00136654,0.00136654,0.00136654
9,29.7203,1.13168,1.26676,1.06019,0.9363,0.45162,0.86486,0.57074,1.09555,1.78588,1.05894,0.00152584,0.00152584,0.00152584
10,31.9229,1.08801,1.18946,1.06936,0.94254,0.67312,0.97369,0.62667,1.10173,1.6287,1.06395,0.00154323,0.00154323,0.00154323
11,34.1375,1.12411,1.17166,1.09871,0.94194,0.72149,0.94868,0.61923,1.12639,1.6677,1.07222,0.00152947,0.00152947,0.00152947
12,36.4843,1.11598,1.12405,1.06087,0.9313,0.96154,0.95945,0.61905,1.12293,1.15101,1.12077,0.00151572,0.00151572,0.00151572
13,38.6451,1.09086,1.16935,1.05837,0.92827,0.97253,0.96805,0.62385,1.13177,1.04104,1.06578,0.00150197,0.00150197,0.00150197
14,40.8287,1.07424,1.04041,1.04189,0.92896,0.92388,0.94037,0.59726,1.08805,1.15168,1.0514,0.00148821,0.00148821,0.00148821
15,43.01,1.03288,0.94561,1.01653,0.754,0.89929,0.96588,0.63946,1.01822,1.12973,1.05588,0.00147446,0.00147446,0.00147446
16,45.2151,0.99128,0.96749,1.0372,0.93632,0.96703,0.9708,0.68104,1.00297,0.92748,1.02885,0.00146071,0.00146071,0.00146071
17,47.4208,1.05392,0.99803,1.03746,0.89624,0.95171,0.93716,0.56186,1.29351,0.89854,1.19745,0.00144696,0.00144696,0.00144696
18,49.6261,1.04435,0.9148,1.03891,0.95138,0.97218,0.98122,0.6643,1.06688,0.72314,1.05195,0.0014332,0.0014332,0.0014332
19,51.7914,0.95617,0.93628,0.9966,0.96167,0.98636,0.98437,0.66397,1.05378,0.71439,1.03445,0.00141945,0.00141945,0.00141945
20,54.0255,0.94338,0.90396,0.9967,0.97447,0.95399,0.97588,0.64821,1.05517,0.94283,1.06256,0.0014057,0.0014057,0.0014057
21,56.2754,0.98966,0.88109,1.01974,0.95754,0.94596,0.97316,0.65261,1.03424,0.8904,1.05285,0.00139195,0.00139195,0.00139195
22,58.4335,1.00838,0.89643,1.05794,0.96622,0.9828,0.98298,0.6529,1.10977,0.74058,1.09273,0.00137819,0.00137819,0.00137819
